Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C128, C139, C142, C144, C145, C146, C147, C148, C149, C16, C2, C20, C63, C8, C9",CAP-0603,16,1 uF,C90540
"C10, C123, C124, C129, C136, C17, C21, C65, C66, C67, C68",CAP-0402,11,22 pF,C5137569
"C100, C101, C12, C13, C130, C131, C133, C135, C140, C141, C15, C19, C57, C58, C7, C99",CAP-0402,16,100 nF,C77020
"C102, C109, C110, C112, C117, C119, C120, C127, C143, C150, C151, C152, C154, C155, C156, C23, C24, C26, C28, C29, C30, C31, C32, C33, C35, C38, C39, C41, C42, C44, C45, C46, C49, C50, C52, C53, C54, C55, C56, C59, C60, C62, C64, C69, C74, C75, C76, C77, C78, C79, C81, C82, C84, C87, C94, C95, C97",CAP-0402,57,220 nF,C192432
"C103, C104",CAP-0402,2,2.2 pF,C880648
"C105, C106, C107, C108, C111, C113, C114, C115, C116, C118, C121, C122, C125, C126, C132, C14, C153, C18, C4, C51, C6, C70, C71, C72, C73, C80, C83, C85, C86, C88, C89, C91, C98",CAP-0603,33,2.2 uF,C23630
"C11, C47, C48",CAP-0402,3,560 pF,C107008
"C134, C137, C138, C22",CAP-0402,4,2.2 nF,C106861
"C25, C27, C34, C37, C61, C93, C96",CAP-0603,7,22 uF,C93926
C3,CAP-0402,1,220 pF,C107001
"C36, C40, C43",CAP-0603,3,10 uF,C19702
"C5, C90, C92",CP_EIA-7343-31_Kemet-D,3,150 uF, C127980
"CN1, CN2",Jack_SMD_3.5mm_PJ-393-8PJ,2,PJ-393 8PJ,C668609
CN6,USB-TYPE-C-12P,1,USB4105-GF-A,C2765186
"D1, D10, D11, D12, D13, D14, D19, D2, D22, D23, D3, D4, D5, D6, D7, D8, D9",D_SOD-882,17,LESD8D5.0CAT5G,C172411
"D15, D16, D17, D18",SOT-23,4,BAT54S,C7420333
"D20, D24",0603,2,150060RS75003,C2286
"D21, D25, D26, D27, D28, D30, D31, D32, D33, D34, D35, D36, D37",0603,13,150060VS75000,C965805
"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9",FB-0805,9,GZ2012D101TF,C1015
J1,MicroSD_G-Switch _GT-TF003-H0185-01,1,GT-TF003-H0185-01,C5155563
J2,RJ45_THT-HR911105A,1,HR911105A,C12074
"J3, J4",USB-TypeA-906-762B1026D10200,2,906-762B1026D10200,C2763240
J6,CN-FPC-60P_0.5mm_Bot_8.15A0.060200,1,8.15A0.060200,C20626046
"L1, L2, L3",IND-SMD-FNR4020S,3,27 uH,C167839
L4,IND-SMD-ACPR1208S,1,6.8 uH,C2846215
